Smiles,epoch
NCC1CC(O)C(O)C(C(=O)O)N1,10
CCC=CC1(C)OC(=O)C2=C(C(C)=CC1=O)N(CC1OC(C)C(C)C(CO)(CO)O1)C(C)C(O)C(N)=C2,10
CC1CC2(C)CC=C(c3cccc(=O)o3)CC3(C)C(O1)C(C)CC23,10
CC1OC(=O)c2c(O)c3c(c(O)c21)C(OCc1c(Cl)cccc1Cl)C(O)C(C)O3,10
CC1=CC(=O)C2(N1)C(CC(=O)O)OC1=CC(=O)C=CC12C,10
CC1CC1C(=O)N1CC2C(C(=O)O)NC(=O)C2(O)C1C,10
CC1OC(C(N)=O)C2C=CC=CC2C1O,10
O=C1NC(=O)C1C1CC(O)C(O)C(CO)N1,10
CC1(C)CC(=O)c2c(cc3c(c2O)C(O)=CC3=O)C1,10
CCCCC(=O)N1C(=O)C23C1=C(C)C(=O)C(C)OC2C(CC)CC3O,10
CC1(C)SC(C2OC2(C)C)C1=O,10
CC(O)N=C(O)C12C(=O)N(O)C(=O)C1C(O)C(O)C2O,10
OC1=CCCC=C1,10
Nc1ncc(Cc2cc(C3NC(CO)C(O)C(O)C3O)ccc2Cl)s1,10
CC=C1C=COC(=O)C1NCC12CCC(NC(=O)Cc3ccccn3)CC1C2,10
NC(Cc1ccc(O)cc1)C(=O)NC1CC2C(O)C(O)C(O)C(CC(=O)O)N2C1=O,10
O=C(O)C=CC1=C(C(=O)O)C(c2ccc(Cl)c(Cl)c2)O1,10
CC=CC1Oc2ncn(C3OC(CO)C(O)C(O)C3O)c2C(O)C1O,10
Nc1[nH]c2ccc3c(c2c1C1OC(O)C(O)C1O)CCCC3,10
CC(=O)OC(C)C1=NC2(O)OC3(CC=C2C2=C1CC(CO)NC2=O)C(=O)OC(C)C3C,10
COc1cc2c3c(c1)NC(=O)C(CO)CCN3C2,10
O=C1NC(=O)C(c2csc3cccnc23)=C1CO,10
O=C1OC2(CCC2)C(O)CC1N=C(O)C1CC(O)C(O)C(O)C1,10
COc1cc2c(cc1OC)N1C(=O)c3c(Cl)c(Cl)cc(Cl)c3C1C2=O,10
O=C(C=CC1=NCCC1)Nc1ccc2c(c1)OCO2,10
OCC1OC(n2cnc3c(NC4CCCC4)ncnc32)C(O)C1O,10
Nc1cc2cc(C=CC(=O)O)[nH]c2cc1O,10
CCn1cnc(=O)c2ncn(C3C(O)C(O)C(CO)C3O)c21,10
CC1(C)C=CC(O)C1C(N)=O,10
O=C(NCC1(N2CC(O)C2)CCC(CO)CC1)c1ccc2[nH]ncc2c1,10
CC1=CCc2ccc(C3OC(CO)C(O)C(O)C3O)cc2C1,10
CC1(C)CCC(CN2CCN(c3cc(O)cc4c3OCCO4)CC2)=C(c2ccc(Cl)cc2)C1,10
Nc1ccc(S(=O)(=O)CC2=NCCC2)cc1,10
CCN1C(=O)C=CC(=O)C1C,10
CNC1=CCC(C)C(C(=O)O)=C1,10
COc1cc2c(C)c(C(=O)O)[nH]c2cc1CC(=O)O,10
COC1C=CC2(C)C(OC(=O)c3cccc(C)c3)C(OC(C)=O)C(=O)C2C1OC,10
CC1=C(CC2=C(O)C(=O)c3cccc(O)c32)C(=O)C(C(=O)OC2CCCC2)=C1O,10
CC12CCC(O)CC1CCC21C=CC(=CC2C=CCC2O)C(=O)C1,10
CC1OC1C1(O)C(C)C1(C)C=CCO,10
CC1=C(CC2CO2)C(c2ccc(Cl)cc2)CC(=O)N1C,10
O=C(O)C=CC=CC1NC(=O)C2(CC(O)C(O)C2=O)C1O,10
O=C1CCC(P(=O)(O)O)N1,10
COc1cc(Cl)c(O)c2oc3nc(CO)cc(C)c3c(=O)c12,10
CC=CC=CC(=O)OC1CC(C)N2C(=O)CCC12C,10
O=c1[nH]c(=O)n(C2OC(CO)C2O)c2nncnc12,10
